"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias"
"17","Vancouver","147.3000","147.9000","A-Analog","Turbo","25K","Off","100.0","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"18","North Vancouver","430.9500","439.9500","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"19","Abbotsford","430.7500","439.7500","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"20","Chilliwack","442.8000","447.8000","A-Analog","Turbo","25K","Off","110.9","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"21","Vancouver","442.9500","447.9500","A-Analog","Turbo","25K","Off","114.8","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"22","Vancouver","442.5750","447.5750","A-Analog","Turbo","25K","Off","114.8","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"23","Salt Spring Is.","146.6600","146.0600","A-Analog","Turbo","25K","Off","100.0","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"24","Vancouver","444.8250","449.8250","A-Analog","Turbo","25K","Off","156.7","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"25","Burnaby","443.6750","448.6750","A-Analog","Turbo","25K","Off","114.8","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"26","Vancouver","443.2000","448.2000","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"27","Chilliwack","145.1100","144.5100","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"28","Vancouver","443.2750","448.2750","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"29","Vancouver","443.2500","448.2500","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"30","Burnaby","442.4750","447.4750","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"31","Delta","443.5500","448.5500","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"32","Burnaby","145.1700","144.5700","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"33","Vancouver","442.3250","447.3250","A-Analog","Turbo","25K","Off","100.0","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"34","Chilliwack","444.7000","449.7000","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"35","Vancouver","444.9500","449.9500","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"36","Port Coquitlam","145.4900","144.8900","A-Analog","Turbo","25K","Off","94.8","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"37","Vancouver","145.2900","144.6900","A-Analog","Turbo","25K","Off","100.0","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"38","Langley","443.9750","448.9750","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"39","Vancouver","441.9750","446.9750","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"40","Burnaby","145.3500","144.7500","A-Analog","Turbo","25K","Off","127.3","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"41","Vancouver","147.0200","147.6200","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"42","Vancouver","443.5250","448.5250","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"43","Vancouver","443.4000","448.4000","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"44","Vancouver","146.9400","146.3400","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"45","Langley","146.7800","146.1800","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"46","Vancouver","145.1500","144.5500","A-Analog","Turbo","25K","Off","123.0","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"47","Vancouver","444.4000","449.4000","A-Analog","Turbo","25K","Off","103.5","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"48","Delta","444.4250","449.4250","A-Analog","Turbo","25K","Off","107.2","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"49","Burns Lake","147.3600","147.9600","A-Analog","Turbo","25K","Off","100.0","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"50","Abbotsford","147.2800","147.8800","A-Analog","Turbo","25K","Off","110.9","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"51","Vancouver","444.9750","449.9750","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"52","Langley","441.3750","446.3750","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"53","Vancouver","443.8000","448.8000","A-Analog","Turbo","25K","Off","","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
"54","Richmond","147.1400","147.7400","A-Analog","Turbo","25K","Off","79.7","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1",0,"Off","0","1","1","0","0","0","0","0"
